state number,state,2005_vet_pop,2005_overall_pop_18,2005_vet_pop_p,2005_vet_suicides,2005_all_suicides,2005_vet_suicides_p,2005_vet_rate,2005_civ_rate,2006_vet_pop,2006_overall_pop_18,2006_vet_pop_p,2006_vet_suicides,2006_all_suicides,2006_vet_suicides_p,2006_vet_rate,2006_civ_rate,2007_vet_pop,2007_overall_pop_18,2007_vet_pop_p,2007_vet_suicides,2007_all_suicides,2007_vet_suicides_p,2007_vet_rate,2007_civ_rate,2008_vet_pop,2008_overall_pop_18,2008_vet_pop_p,2008_vet_suicides,2008_all_suicides,2008_vet_suicides_p,2008_vet_rate,2008_civ_rate,2009_vet_pop,2009_overall_pop_18,2009_vet_pop_p,2009_vet_suicides,2009_all_suicides,2009_vet_suicides_p,2009_vet_rate,2009_civ_rate,2010_vet_pop,2010_overall_pop_18,2010_vet_pop_p,2010_vet_suicides,2010_all_suicides,2010_vet_suicides_p,2010_vet_rate,2010_civ_rate,2011_vet_pop,2011_overall_pop_18,2011_vet_pop_p,2011_vet_suicides,2011_all_suicides,2011_vet_suicides_p,2011_vet_rate,2011_civ_rate,2012_vet_suicides,2013_vet_suicides,2012_all_suicides,2013_all_suicides,predicted_2012_all_suicides,predicted_2013_all_suicides
13,Indiana,505259,4496185,0.112375047,112,745,0.15033557,22.16684908,15.86098063,513266,4728420,0.108549156,108,824,0.131067961,21.04172106,16.98633075,491684,4754575,0.103412818,101,790,0.127848101,20.5416487,16.16274026,486149,4787570,0.101543998,184,809,0.227441286,37.84847855,14.53008204,471717,4830620,0.09765144,150,828,0.18115942,31.79872678,15.55437228,469627,4880691,0.096221416,165,864,0.190972222,35.13426613,15.84651685,458943,4915722,0.093362277,164,861,0.19047619,35.73428509,15.6390972,0,0,0,0,0.0,0.0
39,South Carolina,400152,3077479,0.130025908,96,510,0.188235294,23.99088346,15.46318399,398128,3252620,0.122402248,118,524,0.22519084,29.63870916,14.22319628,396961,3316277,0.119700797,123,530,0.232075472,30.98541167,13.94162194,391275,3375008,0.115933059,137,565,0.242477876,35.01373714,14.34444704,385544,3441651,0.11202298,143,619,0.231017771,37.09044882,15.57537089,409008,3521443,0.116147841,132,637,0.20722135,32.27320737,16.22523844,398985,3563610,0.111960905,158,645,0.24496124,39.60048623,15.38886914,0,0,0,0,0.0,0.0
30,New Mexico,177687,1392242,0.127626519,80,342,0.233918129,45.02298986,21.57168675,176274,1436320,0.122726133,76,352,0.215909091,43.11469644,21.90396224,178400,1465336,0.121746821,96,401,0.239401496,53.81165919,23.69970224,171725,1473640,0.116531175,80,419,0.190930788,46.58611152,26.03856627,168545,1484782,0.113514981,85,376,0.22606383,50.43163547,22.10848046,178732,1539376,0.116106786,82,413,0.198547215,45.87874583,24.32671588,177041,1555130,0.113843216,83,423,0.196217494,46.88179574,24.6718463,0,0,0,0,0.0,0.0
45,Virginia,757224,5442170,0.139140086,206,866,0.237875289,27.20463165,14.08767572,771782,5732436,0.134634211,178,876,0.203196347,23.06350757,14.07072535,757595,5779184,0.131090306,178,880,0.202272727,23.49540322,13.97963872,720855,5812063,0.124027389,203,948,0.214135021,28.16100325,14.6330694,728528,5913691,0.123193451,198,963,0.205607477,27.17809062,14.75363455,742131,6056442,0.122535806,188,963,0.195223261,25.33245478,14.58326395,734757,6137315,0.119719617,197,981,0.200815494,26.81158533,14.5116443,0,0,0,0,0.0,0.0
17,Louisiana,337822,3234969,0.104428203,101,505,0.2,29.89740159,13.94475323,324880,3183547,0.102049695,81,492,0.164634146,24.93228269,14.37733041,315184,3199922,0.098497401,91,522,0.174329502,28.87202396,14.94069825,304756,3287010,0.092715264,97,532,0.182330827,31.82874168,14.58628272,315813,3351308,0.094235743,92,490,0.187755102,29.13116306,13.11153535,312187,3410467,0.091537904,125,557,0.224416517,40.04010417,13.94322011,312953,3442258,0.090915033,106,564,0.187943262,33.87090074,14.63583767,0,0,0,0,0.0,0.0
48,Wisconsin,444679,4080095,0.108987413,136,643,0.211508554,30.58385937,13.94613436,447851,4237883,0.105678,138,670,0.205970149,30.81381977,14.0368208,450802,4277566,0.105387503,128,729,0.17558299,28.39384031,15.70517544,438533,4310254,0.1017418,131,743,0.176312248,29.87232432,15.8069241,430296,4343001,0.099078034,134,724,0.185082873,31.14135386,15.07908212,420641,4351489,0.096665992,169,793,0.213114754,40.17677782,15.87443727,413735,4383985,0.094374182,167,791,0.211125158,40.36400111,15.7168944,0,0,0,0,0.0,0.0
26,Nebraska,154607,1270888,0.121652734,18,187,0.096256684,11.6424224,15.13955715,151844,1316899,0.115304211,5,202,0.024752475,3.292853191,16.90907296,149306,1320148,0.113097925,15,181,0.082872928,10.04648172,14.177831,147482,1329791,0.11090615,21,191,0.109947644,14.23902578,14.37864382,147275,1342732,0.109683094,30,170,0.176470588,20.37005602,11.71100257,144695,1365316,0.105979129,21,193,0.10880829,14.51328657,14.09118801,146104,1377398,0.106072464,34,185,0.183783784,23.27109456,12.26352114,0,0,0,0,0.0,0.0
25,Montana,100637,704193,0.142911105,59,206,0.286407767,58.62654888,24.35565217,102845,722684,0.142309779,54,189,0.285714286,52.50619865,21.77984928,102649,735059,0.139647294,53,196,0.270408163,51.6322614,22.61191316,100543,741354,0.13562077,50,203,0.246305419,49.72996628,23.87599464,96661,749212,0.129016887,48,219,0.219178082,49.6580834,26.20484836,95353,764891,0.124662207,68,227,0.299559471,71.31395971,23.74771858,94872,772072,0.122879731,55,224,0.245535714,57.97284763,24.95569994,0,0,0,0,0.0,0.0
32,North Carolina,723831,6240503,0.115989208,225,1009,0.222993062,31.084604,14.21146662,752508,6625708,0.113573976,200,1106,0.180831826,26.57779054,15.42600286,734260,6773333,0.108404533,229,1077,0.212627669,31.18786261,14.0418902,746259,6879572,0.108474626,238,1162,0.204819277,31.89241269,15.06526734,731015,6996408,0.10448433,249,1174,0.2120954,34.06222855,14.76363893,726084,7190151,0.100983137,222,1174,0.189097104,30.5749748,14.72757012,740470,7285172,0.101640703,207,1171,0.17677199,27.95521763,14.72947126,0,0,0,0,0.0,0.0
19,Maryland,480654,4038360,0.119022078,105,472,0.222457627,21.84523587,10.31563597,475371,4230839,0.112358565,91,495,0.183838384,19.14294309,10.75764725,461184,4232439,0.108964122,76,518,0.146718147,16.47932279,11.72023637,445742,4265690,0.104494701,92,507,0.181459566,20.63974227,10.86402223,438707,4313424,0.101707368,97,551,0.176043557,22.11042906,11.71698475,429774,4404995,0.09756515,85,502,0.169322709,19.77783672,10.48998282,425963,4457846,0.095553548,90,504,0.178571429,21.12859568,10.2681551,0,0,0,0,0.0,0.0
